Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
The Manchester Metropolitan University,Brea,California,92822,http://list-manage.com/massa/volutpat/convallis.aspx?tempus=praesent&vel=blandit&pede=lacinia&morbi=erat&porttitor=vestibulum&lorem=sed&id=magna&ligula=at&suspendisse=nunc&ornare=commodo&consequat=placerat&lectus=praesent&in=blandit&est=nam&risus=nulla&auctor=integer&sed=pede&tristique=justo&in=lacinia&tempus=eget&sit=tincidunt&amet=eget&sem=tempus&fusce=vel&consequat=pede&nulla=morbi&nisl=porttitor&nunc=lorem&nisl=id&duis=ligula&bibendum=suspendisse&felis=ornare&sed=consequat&interdum=lectus&venenatis=in&turpis=est&enim=risus&blandit=auctor&mi=sed&in=tristique&porttitor=in&pede=tempus&justo=sit&eu=amet&massa=sem&donec=fusce&dapibus=consequat&duis=nulla&at=nisl&velit=nunc&eu=nisl&est=duis&congue=bibendum&elementum=felis&in=sed&hac=interdum&habitasse=venenatis&platea=turpis&dictumst=enim&morbi=blandit&vestibulum=mi,923,664,0.75,3.51,15538,65361,35,18,16,13,0
Polytechnic Institute of Turin,Gastonia,North Carolina,28055,http://canalblog.com/habitasse/platea.png?quam=bibendum&nec=imperdiet&dui=nullam&luctus=orci&rutrum=pede&nulla=venenatis&tellus=non&in=sodales&sagittis=sed&dui=tincidunt&vel=eu&nisl=felis&duis=fusce&ac=posuere&nibh=felis&fusce=sed&lacus=lacus&purus=morbi&aliquet=sem&at=mauris&feugiat=laoreet&non=ut&pretium=rhoncus&quis=aliquet&lectus=pulvinar&suspendisse=sed&potenti=nisl&in=nunc&eleifend=rhoncus&quam=dui&a=vel&odio=sem&in=sed&hac=sagittis&habitasse=nam,1579,1538,2.03,3.79,41336,39294,14,18,15,17,4
International University of Novi Pazar,El Paso,Texas,79968,https://is.gd/interdum/in/ante/vestibulum/ante/ipsum.png?quam=gravida&pharetra=nisi&magna=at&ac=nibh&consequat=in&metus=hac&sapien=habitasse&ut=platea&nunc=dictumst&vestibulum=aliquam&ante=augue&ipsum=quam&primis=sollicitudin&in=vitae&faucibus=consectetuer&orci=eget&luctus=rutrum&et=at,1135,705,2.33,3.49,28366,27009,31,19,13,9,4
Central Connecticut State University,Daytona Beach,Florida,32123,https://zimbio.com/imperdiet/sapien/urna/pretium.json?nunc=est&commodo=congue&placerat=elementum&praesent=in&blandit=hac&nam=habitasse&nulla=platea&integer=dictumst&pede=morbi&justo=vestibulum&lacinia=velit&eget=id&tincidunt=pretium&eget=iaculis&tempus=diam&vel=erat&pede=fermentum&morbi=justo&porttitor=nec&lorem=condimentum&id=neque&ligula=sapien&suspendisse=placerat&ornare=ante&consequat=nulla&lectus=justo&in=aliquam&est=quis&risus=turpis&auctor=eget&sed=elit&tristique=sodales&in=scelerisque&tempus=mauris&sit=sit&amet=amet&sem=eros&fusce=suspendisse&consequat=accumsan&nulla=tortor&nisl=quis&nunc=turpis&nisl=sed&duis=ante&bibendum=vivamus&felis=tortor&sed=duis&interdum=mattis&venenatis=egestas&turpis=metus&enim=aenean&blandit=fermentum&mi=donec&in=ut&porttitor=mauris&pede=eget&justo=massa&eu=tempor&massa=convallis&donec=nulla&dapibus=neque&duis=libero&at=convallis&velit=eget&eu=eleifend&est=luctus&congue=ultricies&elementum=eu&in=nibh&hac=quisque&habitasse=id&platea=justo&dictumst=sit&morbi=amet&vestibulum=sapien&velit=dignissim&id=vestibulum&pretium=vestibulum&iaculis=ante&diam=ipsum&erat=primis&fermentum=in&justo=faucibus&nec=orci&condimentum=luctus&neque=et&sapien=ultrices&placerat=posuere&ante=cubilia&nulla=curae&justo=nulla&aliquam=dapibus,633,1200,2.43,2.0,27285,42429,26,28,3,13,10
Indiana University at Bloomington,Charlotte,North Carolina,28278,https://vk.com/erat/fermentum/justo/nec/condimentum/neque/sapien.jpg?velit=at&vivamus=dolor&vel=quis&nulla=odio&eget=consequat&eros=varius&elementum=integer&pellentesque=ac&quisque=leo&porta=pellentesque&volutpat=ultrices&erat=mattis&quisque=odio,1519,812,3.17,0.91,35391,60708,12,11,9,14,9
Vyatka State Pedagogical University,Norwalk,Connecticut,06854,http://cnn.com/vulputate/justo/in/blandit.js?quam=ut&suspendisse=erat&potenti=curabitur&nullam=gravida&porttitor=nisi&lacus=at&at=nibh&turpis=in&donec=hac&posuere=habitasse&metus=platea&vitae=dictumst&ipsum=aliquam&aliquam=augue&non=quam&mauris=sollicitudin&morbi=vitae&non=consectetuer&lectus=eget&aliquam=rutrum&sit=at&amet=lorem&diam=integer&in=tincidunt&magna=ante&bibendum=vel&imperdiet=ipsum&nullam=praesent&orci=blandit&pede=lacinia&venenatis=erat&non=vestibulum&sodales=sed&sed=magna&tincidunt=at&eu=nunc&felis=commodo&fusce=placerat&posuere=praesent&felis=blandit&sed=nam&lacus=nulla&morbi=integer&sem=pede&mauris=justo&laoreet=lacinia&ut=eget&rhoncus=tincidunt&aliquet=eget&pulvinar=tempus&sed=vel&nisl=pede&nunc=morbi&rhoncus=porttitor&dui=lorem&vel=id&sem=ligula&sed=suspendisse&sagittis=ornare&nam=consequat&congue=lectus&risus=in&semper=est&porta=risus&volutpat=auctor&quam=sed&pede=tristique&lobortis=in&ligula=tempus,1104,1415,3.19,0.79,22552,59295,14,23,11,13,8
University of the Sunshine Coast,Trenton,New Jersey,08650,http://prweb.com/aenean/sit/amet/justo/morbi/ut/odio.js?nulla=mattis&mollis=egestas&molestie=metus&lorem=aenean&quisque=fermentum&ut=donec&erat=ut&curabitur=mauris&gravida=eget&nisi=massa&at=tempor&nibh=convallis&in=nulla,1207,1110,3.66,2.66,44011,51721,24,33,19,14,3
Universidad Privada del Norte,Washington,District of Columbia,20073,https://live.com/cras/non/velit.jsp?justo=volutpat&pellentesque=convallis&viverra=morbi&pede=odio&ac=odio&diam=elementum&cras=eu&pellentesque=interdum&volutpat=eu&dui=tincidunt&maecenas=in&tristique=leo&est=maecenas&et=pulvinar&tempus=lobortis&semper=est&est=phasellus&quam=sit&pharetra=amet&magna=erat&ac=nulla&consequat=tempus,1249,1597,1.34,2.03,32030,58577,28,32,14,8,15
Troy University,Erie,Pennsylvania,16510,https://techcrunch.com/ultrices/posuere/cubilia/curae/donec.jpg?adipiscing=mattis&elit=nibh&proin=ligula&risus=nec&praesent=sem&lectus=duis&vestibulum=aliquam&quam=convallis&sapien=nunc&varius=proin&ut=at&blandit=turpis&non=a&interdum=pede&in=posuere&ante=nonummy&vestibulum=integer&ante=non&ipsum=velit&primis=donec&in=diam&faucibus=neque&orci=vestibulum&luctus=eget&et=vulputate&ultrices=ut&posuere=ultrices&cubilia=vel&curae=augue&duis=vestibulum&faucibus=ante&accumsan=ipsum&odio=primis&curabitur=in&convallis=faucibus&duis=orci&consequat=luctus&dui=et&nec=ultrices&nisi=posuere&volutpat=cubilia&eleifend=curae&donec=donec&ut=pharetra&dolor=magna&morbi=vestibulum&vel=aliquet&lectus=ultrices&in=erat&quam=tortor&fringilla=sollicitudin&rhoncus=mi&mauris=sit&enim=amet&leo=lobortis&rhoncus=sapien&sed=sapien&vestibulum=non&sit=mi&amet=integer&cursus=ac&id=neque&turpis=duis&integer=bibendum&aliquet=morbi&massa=non&id=quam&lobortis=nec&convallis=dui&tortor=luctus&risus=rutrum&dapibus=nulla&augue=tellus&vel=in&accumsan=sagittis&tellus=dui&nisi=vel&eu=nisl&orci=duis&mauris=ac&lacinia=nibh&sapien=fusce&quis=lacus,617,1314,3.33,0.59,14487,59291,21,33,15,13,15
University of Medicine and Pharmacy of Timisoara,Lancaster,Pennsylvania,17622,https://alibaba.com/ipsum/primis/in.aspx?ligula=integer&nec=non&sem=velit&duis=donec&aliquam=diam&convallis=neque&nunc=vestibulum&proin=eget&at=vulputate&turpis=ut&a=ultrices&pede=vel&posuere=augue&nonummy=vestibulum&integer=ante&non=ipsum&velit=primis&donec=in&diam=faucibus&neque=orci&vestibulum=luctus&eget=et&vulputate=ultrices&ut=posuere&ultrices=cubilia&vel=curae&augue=donec&vestibulum=pharetra&ante=magna&ipsum=vestibulum&primis=aliquet&in=ultrices&faucibus=erat&orci=tortor&luctus=sollicitudin&et=mi&ultrices=sit&posuere=amet&cubilia=lobortis&curae=sapien&donec=sapien&pharetra=non&magna=mi&vestibulum=integer&aliquet=ac&ultrices=neque&erat=duis&tortor=bibendum&sollicitudin=morbi&mi=non&sit=quam&amet=nec&lobortis=dui&sapien=luctus&sapien=rutrum&non=nulla,867,1302,0.91,1.17,41826,54810,35,31,15,4,2
Ecole Supérieure des Techniques Industrielles et des Textiles,Des Moines,Iowa,50393,http://studiopress.com/suscipit.jsp?nunc=sit&vestibulum=amet&ante=justo&ipsum=morbi&primis=ut&in=odio&faucibus=cras&orci=mi&luctus=pede&et=malesuada&ultrices=in&posuere=imperdiet&cubilia=et&curae=commodo&mauris=vulputate&viverra=justo&diam=in&vitae=blandit&quam=ultrices&suspendisse=enim&potenti=lorem&nullam=ipsum&porttitor=dolor,1581,781,3.25,3.53,32787,44204,10,18,5,13,7
American-European School of Management ,Lincoln,Nebraska,68531,https://hc360.com/libero/quis/orci/nullam/molestie/nibh.js?id=lobortis&lobortis=est&convallis=phasellus&tortor=sit&risus=amet&dapibus=erat&augue=nulla&vel=tempus&accumsan=vivamus&tellus=in&nisi=felis&eu=eu&orci=sapien&mauris=cursus&lacinia=vestibulum&sapien=proin&quis=eu&libero=mi&nullam=nulla&sit=ac&amet=enim&turpis=in&elementum=tempor&ligula=turpis&vehicula=nec&consequat=euismod&morbi=scelerisque&a=quam&ipsum=turpis&integer=adipiscing&a=lorem&nibh=vitae&in=mattis&quis=nibh&justo=ligula&maecenas=nec&rhoncus=sem&aliquam=duis&lacus=aliquam&morbi=convallis&quis=nunc&tortor=proin&id=at&nulla=turpis&ultrices=a&aliquet=pede&maecenas=posuere&leo=nonummy&odio=integer&condimentum=non&id=velit&luctus=donec&nec=diam,818,1551,2.82,0.77,24742,45155,33,27,12,12,7
Community College of Denver,Austin,Texas,78783,http://woothemes.com/aliquam.jpg?a=tristique&libero=est&nam=et&dui=tempus&proin=semper&leo=est&odio=quam&porttitor=pharetra&id=magna&consequat=ac&in=consequat&consequat=metus&ut=sapien&nulla=ut&sed=nunc&accumsan=vestibulum&felis=ante&ut=ipsum&at=primis&dolor=in&quis=faucibus&odio=orci&consequat=luctus&varius=et&integer=ultrices&ac=posuere&leo=cubilia&pellentesque=curae&ultrices=mauris&mattis=viverra&odio=diam&donec=vitae&vitae=quam&nisi=suspendisse&nam=potenti&ultrices=nullam&libero=porttitor&non=lacus&mattis=at&pulvinar=turpis&nulla=donec&pede=posuere&ullamcorper=metus&augue=vitae&a=ipsum&suscipit=aliquam&nulla=non&elit=mauris&ac=morbi&nulla=non&sed=lectus&vel=aliquam&enim=sit&sit=amet,1478,968,2.01,0.9,41946,62953,34,31,3,20,6
Chicago State University,Brooklyn,New York,11220,https://shutterfly.com/posuere/cubilia/curae/donec.png?in=tortor&hac=sollicitudin&habitasse=mi&platea=sit&dictumst=amet&etiam=lobortis&faucibus=sapien&cursus=sapien&urna=non&ut=mi&tellus=integer&nulla=ac&ut=neque&erat=duis&id=bibendum&mauris=morbi&vulputate=non&elementum=quam&nullam=nec&varius=dui&nulla=luctus&facilisi=rutrum&cras=nulla&non=tellus&velit=in&nec=sagittis&nisi=dui&vulputate=vel&nonummy=nisl&maecenas=duis&tincidunt=ac&lacus=nibh&at=fusce&velit=lacus&vivamus=purus&vel=aliquet&nulla=at&eget=feugiat&eros=non&elementum=pretium&pellentesque=quis&quisque=lectus&porta=suspendisse&volutpat=potenti&erat=in&quisque=eleifend&erat=quam&eros=a&viverra=odio&eget=in&congue=hac&eget=habitasse&semper=platea&rutrum=dictumst&nulla=maecenas&nunc=ut&purus=massa&phasellus=quis&in=augue&felis=luctus&donec=tincidunt&semper=nulla&sapien=mollis&a=molestie&libero=lorem&nam=quisque&dui=ut&proin=erat&leo=curabitur&odio=gravida&porttitor=nisi&id=at&consequat=nibh&in=in&consequat=hac&ut=habitasse&nulla=platea&sed=dictumst&accumsan=aliquam&felis=augue&ut=quam&at=sollicitudin&dolor=vitae&quis=consectetuer&odio=eget&consequat=rutrum&varius=at&integer=lorem,1571,1348,2.12,1.36,10773,72449,36,15,7,16,3
Universidad Pedagógica Veracruzana,Nashville,Tennessee,37228,http://mapquest.com/vulputate/elementum/nullam/varius/nulla/facilisi/cras.jpg?pellentesque=imperdiet&viverra=sapien&pede=urna&ac=pretium&diam=nisl&cras=ut&pellentesque=volutpat&volutpat=sapien&dui=arcu&maecenas=sed&tristique=augue&est=aliquam&et=erat&tempus=volutpat&semper=in&est=congue&quam=etiam&pharetra=justo&magna=etiam&ac=pretium&consequat=iaculis&metus=justo&sapien=in&ut=hac&nunc=habitasse&vestibulum=platea&ante=dictumst&ipsum=etiam&primis=faucibus&in=cursus&faucibus=urna&orci=ut&luctus=tellus&et=nulla&ultrices=ut&posuere=erat,1159,1392,1.1,2.17,30079,75965,19,33,6,11,7
Seian University of Art & Design,Chicago,Illinois,60674,https://cpanel.net/adipiscing/elit/proin/risus/praesent/lectus.png?tristique=mus&fusce=etiam&congue=vel&diam=augue&id=vestibulum&ornare=rutrum&imperdiet=rutrum&sapien=neque&urna=aenean&pretium=auctor&nisl=gravida&ut=sem&volutpat=praesent&sapien=id&arcu=massa&sed=id&augue=nisl&aliquam=venenatis&erat=lacinia&volutpat=aenean&in=sit&congue=amet&etiam=justo&justo=morbi&etiam=ut&pretium=odio&iaculis=cras&justo=mi&in=pede&hac=malesuada&habitasse=in&platea=imperdiet&dictumst=et&etiam=commodo&faucibus=vulputate&cursus=justo&urna=in&ut=blandit&tellus=ultrices&nulla=enim&ut=lorem&erat=ipsum&id=dolor&mauris=sit&vulputate=amet&elementum=consectetuer&nullam=adipiscing&varius=elit&nulla=proin&facilisi=interdum&cras=mauris&non=non&velit=ligula&nec=pellentesque&nisi=ultrices&vulputate=phasellus&nonummy=id&maecenas=sapien&tincidunt=in&lacus=sapien&at=iaculis&velit=congue&vivamus=vivamus&vel=metus&nulla=arcu&eget=adipiscing&eros=molestie&elementum=hendrerit&pellentesque=at&quisque=vulputate&porta=vitae&volutpat=nisl&erat=aenean&quisque=lectus&erat=pellentesque&eros=eget&viverra=nunc&eget=donec&congue=quis&eget=orci&semper=eget&rutrum=orci&nulla=vehicula&nunc=condimentum&purus=curabitur&phasellus=in&in=libero&felis=ut&donec=massa&semper=volutpat&sapien=convallis&a=morbi&libero=odio&nam=odio&dui=elementum&proin=eu&leo=interdum&odio=eu&porttitor=tincidunt&id=in,765,986,1.39,1.08,17432,53615,31,16,12,3,10
Ateneo de Davao University,Chattanooga,Tennessee,37405,https://free.fr/integer/aliquet/massa/id.json?sit=cras&amet=non&cursus=velit&id=nec&turpis=nisi&integer=vulputate&aliquet=nonummy&massa=maecenas&id=tincidunt&lobortis=lacus&convallis=at&tortor=velit&risus=vivamus&dapibus=vel&augue=nulla&vel=eget&accumsan=eros&tellus=elementum&nisi=pellentesque&eu=quisque&orci=porta&mauris=volutpat&lacinia=erat&sapien=quisque&quis=erat&libero=eros&nullam=viverra&sit=eget&amet=congue&turpis=eget&elementum=semper&ligula=rutrum&vehicula=nulla&consequat=nunc&morbi=purus&a=phasellus&ipsum=in&integer=felis&a=donec&nibh=semper&in=sapien&quis=a&justo=libero&maecenas=nam&rhoncus=dui&aliquam=proin&lacus=leo&morbi=odio&quis=porttitor&tortor=id&id=consequat&nulla=in&ultrices=consequat&aliquet=ut&maecenas=nulla&leo=sed&odio=accumsan&condimentum=felis&id=ut&luctus=at&nec=dolor&molestie=quis&sed=odio&justo=consequat&pellentesque=varius&viverra=integer&pede=ac&ac=leo&diam=pellentesque&cras=ultrices&pellentesque=mattis&volutpat=odio&dui=donec&maecenas=vitae&tristique=nisi&est=nam&et=ultrices&tempus=libero&semper=non&est=mattis&quam=pulvinar,719,1499,0.94,0.51,22474,59472,35,35,12,14,0
Institut Sains dan Teknologi Al Kamal,Long Beach,California,90810,https://desdev.cn/interdum/mauris/ullamcorper.json?sagittis=faucibus&dui=orci&vel=luctus&nisl=et&duis=ultrices&ac=posuere&nibh=cubilia&fusce=curae&lacus=nulla&purus=dapibus&aliquet=dolor&at=vel&feugiat=est&non=donec&pretium=odio&quis=justo&lectus=sollicitudin&suspendisse=ut&potenti=suscipit&in=a&eleifend=feugiat&quam=et&a=eros&odio=vestibulum&in=ac&hac=est&habitasse=lacinia&platea=nisi&dictumst=venenatis&maecenas=tristique&ut=fusce&massa=congue&quis=diam&augue=id&luctus=ornare&tincidunt=imperdiet&nulla=sapien,1454,1199,0.57,3.06,35016,66383,11,18,1,18,2
Ecole Nationale Supérieure des Mines de St-Etienne,Sacramento,California,95813,https://paginegialle.it/odio.xml?id=morbi&consequat=non&in=lectus&consequat=aliquam&ut=sit&nulla=amet&sed=diam&accumsan=in&felis=magna&ut=bibendum&at=imperdiet&dolor=nullam&quis=orci&odio=pede&consequat=venenatis&varius=non&integer=sodales&ac=sed&leo=tincidunt&pellentesque=eu&ultrices=felis&mattis=fusce&odio=posuere&donec=felis&vitae=sed&nisi=lacus&nam=morbi&ultrices=sem&libero=mauris&non=laoreet&mattis=ut&pulvinar=rhoncus&nulla=aliquet&pede=pulvinar&ullamcorper=sed&augue=nisl&a=nunc&suscipit=rhoncus&nulla=dui&elit=vel&ac=sem&nulla=sed&sed=sagittis&vel=nam&enim=congue&sit=risus&amet=semper&nunc=porta&viverra=volutpat&dapibus=quam&nulla=pede&suscipit=lobortis&ligula=ligula&in=sit&lacus=amet,617,993,1.89,3.72,17562,56148,13,35,15,9,15
Universidad Rafael Landívar,Pasadena,California,91131,https://nifty.com/aliquet/massa/id/lobortis/convallis/tortor/risus.js?convallis=hac&duis=habitasse&consequat=platea&dui=dictumst&nec=etiam&nisi=faucibus&volutpat=cursus&eleifend=urna&donec=ut&ut=tellus&dolor=nulla&morbi=ut&vel=erat&lectus=id&in=mauris&quam=vulputate&fringilla=elementum&rhoncus=nullam&mauris=varius&enim=nulla&leo=facilisi&rhoncus=cras&sed=non&vestibulum=velit&sit=nec&amet=nisi&cursus=vulputate&id=nonummy&turpis=maecenas&integer=tincidunt,1011,1045,1.63,3.08,19848,51802,28,26,0,12,8
Friedrich-Alexander Universität Erlangen-Nürnberg,Baltimore,Maryland,21229,https://smugmug.com/tincidunt/lacus/at/velit/vivamus.png?cras=vestibulum&pellentesque=proin&volutpat=eu&dui=mi&maecenas=nulla&tristique=ac&est=enim&et=in&tempus=tempor&semper=turpis&est=nec&quam=euismod&pharetra=scelerisque&magna=quam&ac=turpis&consequat=adipiscing&metus=lorem&sapien=vitae&ut=mattis&nunc=nibh&vestibulum=ligula&ante=nec&ipsum=sem&primis=duis&in=aliquam&faucibus=convallis&orci=nunc&luctus=proin&et=at&ultrices=turpis&posuere=a&cubilia=pede&curae=posuere&mauris=nonummy&viverra=integer&diam=non&vitae=velit&quam=donec&suspendisse=diam&potenti=neque&nullam=vestibulum&porttitor=eget&lacus=vulputate&at=ut&turpis=ultrices&donec=vel&posuere=augue&metus=vestibulum&vitae=ante&ipsum=ipsum&aliquam=primis&non=in&mauris=faucibus&morbi=orci&non=luctus&lectus=et&aliquam=ultrices&sit=posuere&amet=cubilia&diam=curae&in=donec&magna=pharetra&bibendum=magna&imperdiet=vestibulum&nullam=aliquet&orci=ultrices&pede=erat&venenatis=tortor&non=sollicitudin&sodales=mi&sed=sit&tincidunt=amet&eu=lobortis&felis=sapien&fusce=sapien&posuere=non&felis=mi&sed=integer&lacus=ac&morbi=neque&sem=duis&mauris=bibendum&laoreet=morbi&ut=non&rhoncus=quam&aliquet=nec&pulvinar=dui&sed=luctus&nisl=rutrum,1174,1553,2.25,2.25,30340,49465,30,35,20,11,5
Fachhochschulstudiengänge Steyr,San Antonio,Texas,78215,https://nytimes.com/semper/rutrum/nulla/nunc/purus/phasellus.html?erat=nibh&fermentum=in&justo=quis&nec=justo&condimentum=maecenas&neque=rhoncus&sapien=aliquam&placerat=lacus&ante=morbi&nulla=quis&justo=tortor&aliquam=id&quis=nulla&turpis=ultrices&eget=aliquet&elit=maecenas&sodales=leo&scelerisque=odio&mauris=condimentum&sit=id&amet=luctus&eros=nec&suspendisse=molestie,1329,921,1.0,1.97,24467,50669,35,13,6,14,0
University of Zadar,Mesquite,Texas,75185,http://narod.ru/libero/nam/dui/proin.aspx?lectus=nulla&pellentesque=ut&eget=erat&nunc=id&donec=mauris&quis=vulputate&orci=elementum&eget=nullam&orci=varius&vehicula=nulla&condimentum=facilisi&curabitur=cras&in=non&libero=velit&ut=nec&massa=nisi&volutpat=vulputate&convallis=nonummy&morbi=maecenas&odio=tincidunt&odio=lacus&elementum=at&eu=velit&interdum=vivamus&eu=vel&tincidunt=nulla&in=eget&leo=eros&maecenas=elementum&pulvinar=pellentesque&lobortis=quisque&est=porta&phasellus=volutpat&sit=erat&amet=quisque&erat=erat&nulla=eros&tempus=viverra&vivamus=eget&in=congue&felis=eget&eu=semper&sapien=rutrum&cursus=nulla&vestibulum=nunc&proin=purus&eu=phasellus&mi=in&nulla=felis&ac=donec&enim=semper&in=sapien&tempor=a&turpis=libero&nec=nam&euismod=dui&scelerisque=proin&quam=leo&turpis=odio&adipiscing=porttitor&lorem=id&vitae=consequat&mattis=in&nibh=consequat&ligula=ut&nec=nulla&sem=sed&duis=accumsan&aliquam=felis&convallis=ut&nunc=at&proin=dolor&at=quis,711,1041,1.79,1.87,27167,76495,27,29,4,17,14
Universitas Haluoleo,Detroit,Michigan,48217,http://bluehost.com/imperdiet/sapien/urna/pretium.png?rutrum=sapien&nulla=cursus&nunc=vestibulum&purus=proin&phasellus=eu&in=mi&felis=nulla&donec=ac&semper=enim&sapien=in,1001,1395,1.8,2.58,13661,69365,24,13,19,8,0
Qurtuba University of Science and Infromation Technology,South Bend,Indiana,46634,http://hhs.gov/congue.html?bibendum=sit&felis=amet&sed=erat&interdum=nulla&venenatis=tempus&turpis=vivamus&enim=in&blandit=felis&mi=eu&in=sapien&porttitor=cursus&pede=vestibulum&justo=proin&eu=eu&massa=mi&donec=nulla&dapibus=ac&duis=enim&at=in&velit=tempor&eu=turpis&est=nec&congue=euismod&elementum=scelerisque&in=quam&hac=turpis&habitasse=adipiscing&platea=lorem&dictumst=vitae&morbi=mattis&vestibulum=nibh&velit=ligula&id=nec&pretium=sem&iaculis=duis&diam=aliquam&erat=convallis&fermentum=nunc&justo=proin&nec=at,1048,836,3.47,1.93,13822,64095,33,30,7,19,1
Universidad del Mayab,Huntsville,Alabama,35805,http://howstuffworks.com/donec/ut.xml?erat=duis&id=at&mauris=velit&vulputate=eu&elementum=est&nullam=congue&varius=elementum&nulla=in&facilisi=hac,769,1305,1.13,3.07,34484,76341,18,20,8,12,7
Ateneo de Naga University,Chicago,Illinois,60619,https://java.com/ut.jpg?donec=aenean&semper=fermentum&sapien=donec&a=ut&libero=mauris&nam=eget&dui=massa&proin=tempor&leo=convallis&odio=nulla&porttitor=neque&id=libero&consequat=convallis&in=eget&consequat=eleifend&ut=luctus&nulla=ultricies&sed=eu&accumsan=nibh&felis=quisque&ut=id&at=justo&dolor=sit&quis=amet&odio=sapien&consequat=dignissim&varius=vestibulum&integer=vestibulum&ac=ante&leo=ipsum&pellentesque=primis&ultrices=in&mattis=faucibus&odio=orci&donec=luctus&vitae=et&nisi=ultrices&nam=posuere&ultrices=cubilia&libero=curae&non=nulla&mattis=dapibus&pulvinar=dolor,1575,1555,3.98,2.66,41269,54659,29,13,1,9,4
German University in Cairo,Saint Louis,Missouri,63167,http://census.gov/velit/nec/nisi/vulputate/nonummy/maecenas.json?ante=cubilia&vivamus=curae&tortor=nulla&duis=dapibus&mattis=dolor&egestas=vel&metus=est&aenean=donec&fermentum=odio&donec=justo&ut=sollicitudin&mauris=ut&eget=suscipit&massa=a&tempor=feugiat&convallis=et&nulla=eros&neque=vestibulum&libero=ac&convallis=est&eget=lacinia&eleifend=nisi&luctus=venenatis&ultricies=tristique&eu=fusce&nibh=congue&quisque=diam&id=id&justo=ornare&sit=imperdiet&amet=sapien&sapien=urna&dignissim=pretium&vestibulum=nisl&vestibulum=ut&ante=volutpat&ipsum=sapien&primis=arcu&in=sed&faucibus=augue&orci=aliquam&luctus=erat&et=volutpat&ultrices=in&posuere=congue&cubilia=etiam&curae=justo&nulla=etiam&dapibus=pretium&dolor=iaculis&vel=justo&est=in&donec=hac&odio=habitasse&justo=platea&sollicitudin=dictumst&ut=etiam&suscipit=faucibus&a=cursus&feugiat=urna&et=ut&eros=tellus&vestibulum=nulla&ac=ut&est=erat&lacinia=id&nisi=mauris&venenatis=vulputate&tristique=elementum&fusce=nullam&congue=varius&diam=nulla&id=facilisi&ornare=cras,1281,1319,2.7,2.78,36960,64382,27,18,9,4,6
Universität Regensburg,Moreno Valley,California,92555,https://facebook.com/in/faucibus/orci/luctus/et/ultrices.xml?massa=amet&id=cursus&lobortis=id&convallis=turpis&tortor=integer&risus=aliquet&dapibus=massa&augue=id&vel=lobortis&accumsan=convallis&tellus=tortor&nisi=risus&eu=dapibus,947,1304,1.54,3.36,31631,25138,33,32,14,9,5
Meijo University,Honolulu,Hawaii,96825,https://woothemes.com/dolor/morbi/vel/lectus/in/quam.html?in=mauris&faucibus=sit&orci=amet&luctus=eros&et=suspendisse&ultrices=accumsan&posuere=tortor&cubilia=quis&curae=turpis&mauris=sed&viverra=ante&diam=vivamus&vitae=tortor&quam=duis&suspendisse=mattis&potenti=egestas&nullam=metus&porttitor=aenean&lacus=fermentum&at=donec&turpis=ut&donec=mauris&posuere=eget&metus=massa&vitae=tempor&ipsum=convallis&aliquam=nulla&non=neque&mauris=libero&morbi=convallis&non=eget&lectus=eleifend&aliquam=luctus&sit=ultricies&amet=eu&diam=nibh&in=quisque&magna=id&bibendum=justo&imperdiet=sit&nullam=amet&orci=sapien&pede=dignissim&venenatis=vestibulum&non=vestibulum&sodales=ante&sed=ipsum&tincidunt=primis&eu=in&felis=faucibus&fusce=orci&posuere=luctus&felis=et&sed=ultrices&lacus=posuere&morbi=cubilia&sem=curae&mauris=nulla&laoreet=dapibus&ut=dolor&rhoncus=vel&aliquet=est&pulvinar=donec&sed=odio&nisl=justo&nunc=sollicitudin&rhoncus=ut&dui=suscipit&vel=a&sem=feugiat&sed=et&sagittis=eros&nam=vestibulum&congue=ac&risus=est&semper=lacinia&porta=nisi&volutpat=venenatis&quam=tristique&pede=fusce&lobortis=congue&ligula=diam,1487,601,2.96,0.66,32702,40678,27,28,15,6,14
